dataverse,article,date,year,journal
AJPS,At Any Cost: How Ukrainians Think about Self-Defense Against Russia,2023-08-24,2023,ajps
AJPS,Does Public Support Help Democracy Survive?,2023-07-27,2023,ajps
AJPS,Damaged Relations: How Treaty Withdrawal Impacts International Cooperation,2023-07-27,2023,ajps
AJPS,"The Political Consequences of Depression: How Conspiracy Beliefs, Participatory Inclinations, and Depression Relate to Support for Political Violence",2023-07-20,2023,ajps
AJPS,The Necessity of Moving Averages in Dynamic Linear Regression Models,2023-07-18,2023,ajps
AJPS,"Making Global Governance Accountable: Civil Society, States, and the Politics of Reform",2023-07-13,2023,ajps
AJPS,"Presidential Cues and the Nationalization of Congressional Rhetoric, 1973-2016",2023-07-11,2023,ajps
AJPS,"Divided Government, Strategic Substitution, and Presidential Unilateralism",2023-07-10,2023,ajps
AJPS,Placebo Tests For Causal Inference,2023-07-06,2023,ajps
AJPS,A Meta-Analytic Assessment of the Effects of Emotions on Political Information Search and Decision Making,2023-07-06,2023,ajps
AJPS,Religious Mobilization and the Selection of Political Elites: Evidence from Postwar Italy,2023-07-06,2023,ajps
AJPS,"Electoral Discrimination, Party Rationale, and the Underrepresentation of Immigrant-Origin Politicians",2023-06-19,2023,ajps
AJPS,No Evidence that Measuring Moderators Alters Treatment Effects,2023-06-16,2023,ajps
AJPS,The Personal Vote in a Polarized Era,2023-06-16,2023,ajps
AJPS,Does Democracy Reduce Ethnic Inequality?,2023-06-12,2023,ajps
AJPS,"A Costly Commitment: Populism, Economic Performance, and the Quality of Bureaucracy",2023-06-12,2023,ajps
AJPS,Bilateral Conflict: An Experimental Study of Strategic Effectiveness and Equilibrium,2023-06-12,2023,ajps
AJPS,Where Motivated Reasoning Withers and Looms Large: Fear and Partisan Reactions to the COVID-19 Pandemic,2023-05-30,2023,ajps
AJPS,Do Politicians in Power Receive Special Treatment in Courts? Evidence from India,2023-05-22,2023,ajps
AJPS,"Causal Effects, Migration and Legacy Studies",2023-05-17,2023,ajps
AJPS,Critical Junctures: Independence Movements and Democracy in Africa,2023-05-09,2023,ajps
AJPS,Why Compete for Firms?: Electoral Effects of Corporate Headquarters Relocation,2023-05-02,2023,ajps
AJPS,Ideological Asymmetries and the Determinants of Politically Motivated Reasoning,2023-05-01,2023,ajps
AJPS,Keeping or Building Peace? UN Peace Operations Beyond the Security Dilemma,2023-04-26,2023,ajps
AJPS,"Victim or Threat? Shipwrecks, Terrorist Attacks and Asylum Decisions in France",2023-04-25,2023,ajps
AJPS,"Is Affective Polarization Driven by Identity, Loyalty, or Substance?",2023-04-21,2023,ajps
AJPS,Ethnic Visibility,2023-04-05,2023,ajps
AJPS,Bureaucratic Structure and Compliance with International Agreements,2023-04-04,2023,ajps
AJPS,The Fortification Dilemma: Border Control and Rebel Violence,2023-03-30,2023,ajps
AJPS,Climate Cascades: IOs and the Prioritization of Climate Action,2023-03-27,2023,ajps
AJPS,Border Anxiety in International Discourse,2023-03-07,2023,ajps
AJPS,No Entry in a Pandemic: Public Support for Border Closures,2023-02-21,2023,ajps
AJPS,The Effect of Sustained Transparency on Electoral Accountability,2023-02-21,2023,ajps
AJPS,Globalization and Promissory Representation,2023-02-21,2023,ajps
AJPS,Ethnonationalist Gender Norms: How Parties Shape Voter Attitudes to Women Candidates in India,2023-02-15,2023,ajps
AJPS,Testing the Benefits of Public Deliberation,2023-02-14,2023,ajps
AJPS,Replication data for: Detecting and Deterring Information Search in Online Surveys,2023-02-09,2023,ajps
AJPS,Replication Files for: Modeling Theories of Women's Underrepresentation in Elections,2023-02-08,2023,ajps
AJPS,"Target, Information, and Trade Preferences: Evidence from Survey Experiment in East Asia",2023-02-07,2023,ajps
AJPS,Institutional Quality Causes Generalised Trust: Experimental Evidence on Trusting Under the Shadow of Doubt,2023-02-03,2023,ajps
AJPS,Keyword Assisted Topic Models,2023-01-31,2023,ajps
AJPS,"Aid, Attitudes and Insurgency: Evidence from Development Projects in Northern Afghanistan",2023-01-17,2023,ajps
AJPS,One More Time? Parties’ Repeated Electoral Entry in Younger Democracies,2023-01-11,2023,ajps
AJPS,Retaining Political Talent: A Candidate-Centered Theory of Primary Adoption,2023-01-09,2023,ajps
AJPS,The Preference for Reciprocity in Congress,2023-01-06,2023,ajps
AJPS,"Terrorism, Trust, and Identity: Evidence from a Natural Experiment in Nigeria",2022-12-19,2022,ajps
AJPS,Does Relative Deprivation Condition the Effects of Social Protection Programs on Political Support? Experimental Evidence from Pakistan,2022-12-09,2022,ajps
AJPS,How Politicians Learn from Citizens' Feedback: The Case of Gender on Twitter,2022-12-06,2022,ajps
AJPS,Bicameralism and Policy Responsiveness to Public Opinion,2022-11-29,2022,ajps
AJPS,"Attacks without Consequence? Candidates, Parties, Groups, and the Changing Face of Negative Advertising",2022-11-29,2022,ajps
AJPS,Can Online Civic Education Induce Democratic Citizenship? Experimental Evidence from a New Democracy,2022-11-14,2022,ajps
AJPS,"Terrorist Attacks, Cultural Incidents, and the Vote for Radical Parties: Analyzing Text from Twitter",2022-11-10,2022,ajps
AJPS,Sexism and the Far-Right Vote: The Individual Dynamics of Gender Backlash,2022-11-04,2022,ajps
AJPS,"How Patronage Delivers: Political Appointments, Bureaucratic Accountability, and Service Delivery in Brazil",2022-11-02,2022,ajps
AJPS,Banklash: How Media Coverage of Bank Scandals Moves Mass Preferences on Financial Regulation,2022-10-11,2022,ajps
AJPS,"Forced Migration, Staying Minorities, and New Societies: Evidence From Post-war Czechoslovakia",2022-10-03,2022,ajps
AJPS,Replication data for: What the Demolition of Public Housing Teaches Us About the Impact of Racial Threat on Political Behavior,2022-10-03,2022,ajps
AJPS,Public Opinion and Presidents' Unilateral Policy Agendas,2022-09-13,2022,ajps
AJPS,"Rebel Capacity, Intelligence Gathering, and Combat Tactics",2022-09-09,2022,ajps
AJPS,Global Economic Integration and Nativist Politics in Emerging Economies,2022-08-26,2022,ajps
AJPS,How Economic Informality Constrains Demand for Programmatic Policy,2022-08-11,2022,ajps
AJPS,Military Culture and Institutional Trust: Evidence from Conscription Reforms in Europe,2022-08-09,2022,ajps
AJPS,Cleavage Identities in Voters’ Own Words: Harnessing Open-Ended Survey Responses,2022-08-08,2022,ajps
AJPS,Demolition and Discontent: Governing the Authoritarian City,2022-08-02,2022,ajps
AJPS,How the Party Commands the Gun: The Foreign-Domestic Threat Dilemma in China,2022-07-29,2022,ajps
AJPS,Can Close Election Regression Discontinuity Designs Identify Effects of Winning Politician Characteristics?,2022-07-26,2022,ajps
AJPS,Money Can’t Buy You Love: Partisan Responses to Vote-Buying Offers in Modern Democracy,2022-07-19,2022,ajps
AJPS,"Discrimination, Inclusion, and Anti-System Attitudes among Muslims in Germany",2022-06-17,2022,ajps
AJPS,Time in Office and the Changing Gender Gap in Dishonesty: Evidence from Local Politics in India,2022-06-09,2022,ajps
AJPS,Do Immigrants Move to Welfare? Subnational Evidence from Switzerland,2022-06-09,2022,ajps
AJPS,Who Controls the Past: Endogenous Status Quo and Change in International Regimes,2022-06-02,2022,ajps
AJPS,Career Concerns and the Dynamics of Electoral Accountability,2022-06-01,2022,ajps
AJPS,The Legacy of Political Violence across Generations,2022-05-10,2022,ajps
AJPS,Crowd Cohesion and Protest Outcomes,2022-05-04,2022,ajps
AJPS,"Campaign Messages, Polling, and Elections: Theory and Experimental Evidence",2022-05-02,2022,ajps
AJPS,A Practical Guide to Counterfactual Estimators for Causal Inference with Time-Series Cross-Sectional Data,2022-05-02,2022,ajps
AJPS,When and Why Are Campaigns' Persuasive Effects Small? Evidence from the 2020 US Presidential Election,2022-05-02,2022,ajps
AJPS,Politicians’ Private Sector Jobs and Parliamentary Behavior,2022-04-26,2022,ajps
AJPS,Learning to Be Unbiased: Evidence From the French Asylum Office,2022-04-11,2022,ajps
AJPS,Does Affective Polarization Undermine Democratic Norms or Accountability? Maybe Not,2022-04-11,2022,ajps
AJPS,How Threats of Exclusion Mobilize Palestinian Political Participation,2022-04-05,2022,ajps
AJPS,How Norms Shape the Nature of Belief Systems in Mass Publics,2022-03-31,2022,ajps
AJPS,In Strongman We Trust: The Political Legacy of the New Village Movement in South Korea,2022-03-23,2022,ajps
AJPS,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting",2022-03-22,2022,ajps
AJPS,What Do We Learn About Voter Preferences from Conjoint Experiments?,2022-03-22,2022,ajps
AJPS,Antagonistic Cooperation: Factional Competition in the Shadow of Elections,2022-03-18,2022,ajps
