dataverse,article,date,year,journal
JOP,How to detect heterogeneity in conjoint experiments,2023-08-10,2023,jop
JOP,Advantage of Backwardness? The Coercive Imbalance Outside Western Europe,2023-08-02,2023,jop
JOP,Rally 'round the barrack: Far-right support and the military,2023-08-02,2023,jop
JOP,Private Participation: How Populists Engage with International Organizations,2023-07-25,2023,jop
JOP,Measuring Political Narratives in African News Media: A Word Embeddings Approach,2023-07-21,2023,jop
JOP,Replication Data for Gender Quota Adoption and the Qualifications of Parliamentarians,2023-07-17,2023,jop
JOP,"Local Politics, Global Consequences: How Structural Imbalance in Domestic Political Networks Affects International Relations,",2023-07-14,2023,jop
JOP,How Do Pocketbook and Distributional Concerns Affect Citizens’ Preferences for Carbon Taxation?,2023-07-12,2023,jop
JOP,"Replication Data for ""News and Public Opinion: Which Comes First?""",2023-07-12,2023,jop
JOP,The Economic Effects of Leaders' Economic Interests: Evidence from Election by Lot in the Florentine Republic,2023-07-10,2023,jop
JOP,Replication Data for Higher Education and Cultural Liberalism,2023-07-05,2023,jop
JOP,Women’s Political Representation in African Rebel Parties,2023-07-05,2023,jop
JOP,Belief in COVID-19 Misinformation in Nigeria,2023-06-24,2023,jop
JOP,"Facing Voters: Gender Expression, Gender Stereotypes, and Vote Choice",2023-06-12,2023,jop
JOP,Parochial Altruism in Civil Society Leaders: Legacies of Contested Governance,2023-06-08,2023,jop
JOP,Out-group Threat and Xenophobic Hate Crimes: Evidence of Local Intergroup Conflict Dynamics between Immigrants and Natives,2023-06-07,2023,jop
JOP,"Replication Data to ""Strategic Communication in Dictatorships: Performance, Patriotism, and Intimidation""",2023-06-02,2023,jop
JOP,Destruction from Above: Long-Term Legacies of the Tokyo Air Raids,2023-06-01,2023,jop
JOP,Military Attitudes on the Chemical Weapons Taboo: Evidence from the Pacific Theater,2023-05-31,2023,jop
JOP,Comparative vote switching,2023-05-25,2023,jop
JOP,“How Distributional Conflict over In-Kind Benefits Generates Support for Far-right Parties,2023-05-24,2023,jop
JOP,Who Do You Trust? Institutions that Constrain Leaders Help People Prevent Disaster,2023-05-24,2023,jop
JOP,Measuring Perceived Skin Color: Spillover Effects and Likert-type Scales,2023-05-24,2023,jop
JOP,"Subsidies for Sale: Post-government Career Concerns, Revolving-door Channels, and Public Resource Misallocation in China",2023-05-18,2023,jop
JOP,Fighting for Peace? The Direct and Indirect Effects of Women’s Participation in Rebel Groups on Peace Negotiations,2023-05-09,2023,jop
JOP,Affluence and Congruence: Unequal Representation Around the World,2023-05-08,2023,jop
JOP,Political Geography and Firm Strategies: How Electoral Competition Influences Local Job Creation,2023-05-08,2023,jop
JOP,Borrowing to Self-Insure? Credit Access and Support for Welfare,2023-05-01,2023,jop
JOP,"Signaling Race, Ethnicity, and Gender with Names: Challenges and Recommendations",2023-04-28,2023,jop
JOP,Does job insecurity shape policy preferences? An experimental manipulation of labor market risk.,2023-04-28,2023,jop
JOP,How to Stop Contagion: Applying Network Science to Evaluate the Effectiveness of Covid-19 Vaccine Distribution Plans,2023-04-13,2023,jop
JOP,"Strengthening the Party, Weakening the Women: Unforeseen Consequences of Strengthening Institutions",2023-04-12,2023,jop
JOP,The persistent electoral effects of large-scale infrastructure policies: Evidence from a rural electrification scheme in Brazil,2023-04-04,2023,jop
JOP,"""The Wars of Others: The Effect of the Russian Invasion of Ukraine on Spanish Nationalism""",2023-04-03,2023,jop
JOP,Are Politicians Biased Against Ethnic Minority Candidates? Experimental Evidence from Norway,2023-03-10,2023,jop
JOP,Third Party Presence & the Political Salience of Ethnicity in Survey Data,2023-03-08,2023,jop
JOP,Playing to the Audience: Responses to Violations of International Order,2023-03-08,2023,jop
JOP,How Do We Know What We Know? Learning from Monte Carlo Simulations,2023-03-01,2023,jop
JOP,Assessing the Structure of Policy Preferences: A Hard Test of the Low Dimensionality Hypothesis,2023-02-26,2023,jop
JOP,Changing the Dialogue: Descriptive Candidacies & Position Taking in Campaigns for the U.S. House of Representatives,2023-02-26,2023,jop
JOP,"Replication Data for ""Enfranchisement and Representation: Evidence from the Introduction of Quasi-Universal Suffrage in Italy""",2023-02-21,2023,jop
JOP,Winning or Losing Hearts and Minds? Evidence from Afghanistan on how Leadership Decapitation affects Civilian Perceptions of Government Efficacy,2023-02-20,2023,jop
JOP,"""Jobs and Political Participation - Evidence from a Field Experiment in Ethiopia""",2023-02-20,2023,jop
JOP,The Effects of Racial Diversity in Citizen Decision-Making Bodies,2023-02-17,2023,jop
JOP,The Political Geography of the Gender Gap,2023-02-16,2023,jop
JOP,"Ethnic Inequality, Democratic Transitions, and Democratic Breakdowns : Investigating an Asymmetrical Relationship",2023-02-09,2023,jop
JOP,"Replication Data for ""Race to the Top: How Competition for Political Power Affects Participation""",2023-02-02,2023,jop
JOP,Political Misinformation and Factual Corrections on the Facebook News Feed: Experimental Evidence,2023-02-02,2023,jop
JOP,Domestic Polarization and International Rivalry: How Adversaries Respond to America's Partisan Politics,2023-02-01,2023,jop
JOP,Media Measurement Matters: Estimating the Persuasive Effects of Partisan Media with Survey and Behavioral Data,2023-01-26,2023,jop
JOP,Building the Party on the Ground: The Role of Access to Public Office for Party Growth,2023-01-20,2023,jop
JOP,Natural Disasters and Green Party Support,2023-01-18,2023,jop
JOP,"""Bilateral or Multilateral? International Financial Flows and the Dirty-Work Hypothesis""",2023-01-17,2023,jop
JOP,Does Land Quality Increase the Power of Traditional Leaders in Contemporary Africa?,2023-01-13,2023,jop
JOP,"Leader Hawkishness, Political Survival, and Interstate Crises",2023-01-10,2023,jop
JOP,The PhD Pipeline Initiative Works: Evidence from a Randomized Intervention to Help Under-Represented Students Prepare for PhDs in Political Science,2023-01-03,2023,jop
JOP,The Impact of Educational Content on Anti-Immigrant Attitudes,2023-01-03,2023,jop
JOP,Where’s the Party in Social Construction Theory?: Partisan Mappings of Politically Relevant Target Groups,2023-01-03,2023,jop
JOP,The Revolving Door and Regulatory Enforcement: Firm-level Evidence on Tax Rates and Tax Audits,2023-01-03,2023,jop
JOP,The Surprising Stability of Asian Americans’ and Latinos’ Partisan Identities in the Early Trump Era,2023-01-03,2023,jop
JOP,Comparing ‘responsible party government’ in the US and the UK,2022-12-21,2022,jop
JOP,Do Indirect Taxes Bite? How Hiding Taxes Erases Accountability Demands from Citizens,2022-12-21,2022,jop
JOP,"""Gradual Franchise Extensions and Government Spending in Nineteenth-Century England""",2022-12-16,2022,jop
JOP,Managing the Costs of Backing Down: A “Mirror Experiment” on Reputations and Audience Costs in a Real-World Conflict,2022-12-13,2022,jop
JOP,The Filibuster and Legislative Discussion,2022-12-13,2022,jop
JOP,When Do Campaign Donors Reject Extremists? Evidence from the U.S. Foreclosure Crisis,2022-12-09,2022,jop
JOP,"Framing Police Violence: Repression, Reform, and the Power of History in Chile",2022-12-09,2022,jop
JOP,The Effects of Independent Local Radio on Tanzanian Public Opinion: Evidence from a Planned Natural Experiment,2022-12-09,2022,jop
JOP,From Low-Cost Flights to the Ballot Box: How Eastern European Migration Shaped Far-Right Voting in London,2022-12-07,2022,jop
JOP,"Social Norm Change, Political Symbols, and Expression of Stigmatized Preferences",2022-12-07,2022,jop
JOP,Wait and see? Public Opinion Dynamics after Terrorist Attacks,2022-11-24,2022,jop
JOP,Defund My Police? The Effect of George Floyd's Murder on Support for Local Police Budgets,2022-11-15,2022,jop
JOP,Foreignness as an Asset: European Carbon Regulation and the Relocation Threat among Multinational Firms,2022-11-15,2022,jop
JOP,The Political Price of Authoritarian Control: Evidence from Francoist Land Settlements in Spain,2022-11-14,2022,jop
JOP,Schools of Thought: Leader Education and Policy Outcomes,2022-11-12,2022,jop
JOP,Women who win but do not rule. The effect of gender in the formation of governments,2022-11-10,2022,jop
JOP,"""Because He is Gay"": How Race, Gender, and Sexuality Shape Perceptions of Judicial Fairness",2022-11-09,2022,jop
JOP,Replication Data for Do local economic benefits of asylum seekers lead to more support for local refugee intake?,2022-11-08,2022,jop
JOP,The Effect of Firm Lobbying on High-Skilled Visa Adjudication,2022-11-08,2022,jop
JOP,"Making the bourgeoisie? Values, voice, and state-provided homeownership",2022-11-07,2022,jop
JOP,A Diffusion Network Event History Estimator,2022-10-31,2022,jop
JOP,Replication Data for From Investiture to Worms: European Development and the Rise of Political Authority,2022-10-29,2022,jop
JOP,“From ‘Is it unconfounded?’ to ‘How much confounding would it take?’: Applying the sensitivity-based approach to assess causes of support for peace in Colombia”,2022-10-28,2022,jop
JOP,Replication Data for Proportional Immigration Enforcement,2022-10-28,2022,jop
JOP,Perspective Taking Through Partisan Eyes,2022-10-23,2022,jop
JOP,Majority Minority Districts as Opportunities for Latina and Latino Representation,2022-10-23,2022,jop
JOP,Bargain Down or Shop Around? Outside Options and IMF Conditionality,2022-10-20,2022,jop
JOP,Trade as Villain: Belief in the American Dream and Declining Support for Globalization,2022-10-18,2022,jop
JOP,Strategically Ambiguous Identities: Evidence from Evangelical Clergy in Brazilian Elections,2022-10-14,2022,jop
JOP,Pork versus Policy: Experimental Evidence on Majoritarian Bargaining with Real-World Consequences,2022-10-11,2022,jop
JOP,Loyalty or Accountability? Public Attitudes to Holding Soldiers Accountable for the Murder and Abuse of Civilians,2022-10-11,2022,jop
JOP,Do political preferences affect policy learning and uptake? Evidence from a field experiment with informal entrepreneurs,2022-10-10,2022,jop
JOP,Extremists Not on Board: Labor market costs to radical behavior in elected office,2022-10-07,2022,jop
JOP,Committee Decision-Making under the Threat of Leaks,2022-10-07,2022,jop
JOP,The Supply--Equity Trade-off: The Effect of Spatial Representation on the Local Housing Supply,2022-10-06,2022,jop
JOP,Replication Data for Democratic Integration of Former Insurgents: Evidence from a Civic Inclusion Campaign in Colombia,2022-10-04,2022,jop
JOP,Larger Legislatures and the Cost of Political Brokerage: Evidence from Brazil,2022-09-22,2022,jop
JOP,Place-Based Campaigning: The Political Impact of Real Grassroots Mobilization,2022-09-21,2022,jop
JOP,Evaluating Escalation: Conceptualizing Escalation in an Era of Emerging Military Technologies,2022-09-14,2022,jop
JOP,Control and Fairness: What determines elected local leaders' support for hosting refugees in their community?,2022-09-13,2022,jop
